1,44
2,86
3,29
4,81
5,20
6,83
7,38
8,83
9,96
10,75
11,62
12,91
13,19
14,59
15,74
16,72
17,82
18,63
19,69
20,63
21,81
22,72
23,46
24,88
25,96
26,16
27,56
28,61
29,6
30,4
31,41
32,19
33,72
34,5
35,71
36,96
37,23
38,79
39,28
40,14
41,82
42,94
43,74
44,7
45,9
46,90
47,92
48,18
49,88
50,70
51,51
52,50
53,59
54,12
55,56
56,100
57,91
58,65
59,49
60,79
61,82
62,69
63,50
64,82
65,47
66,77
67,18
68,80
69,69
70,29
71,52
72,33
73,60
74,45
75,91
76,40
77,16
78,30
79,80
80,53
81,2
82,8
83,4
84,66
85,32
86,91
87,53
88,99
89,68
90,19
91,10
92,24
93,4
94,11
95,27
96,14
97,81
98,31
99,58
100,92
101,11
102,67
103,89
104,79
105,85
106,67
107,96
108,85
109,94
110,51
111,13
112,41
113,56
114,21
115,3
116,96
117,36
118,73
119,9
120,45
121,35
122,50
123,3
124,7
125,81
126,92
127,82
128,69
129,37
130,64
131,34
132,96
133,36
134,98
135,34
136,82
137,44
138,10
139,5
140,12
141,7
142,38
143,62
144,70
145,72
146,52
147,62
148,7
149,61
150,9
151,32
152,43
153,55
154,14
155,66
156,42
157,48
158,75
159,33
160,61
161,31
162,37
163,9
164,64
165,85
166,54
167,49
168,42
169,59
170,7
171,69
172,65
173,53
174,5
175,59
176,87
177,54
178,21
179,68
180,90
181,42
182,22
183,55
184,34
185,39
186,82
187,2
188,90
189,59
190,80
191,8
192,75
193,18
194,44
195,69
196,79
197,61
198,39
199,6
200,33
201,89
202,15
203,52
204,51
205,5
206,3
207,94
208,47
209,16
210,24
211,17
212,42
213,38
214,75
215,57
216,60
217,7
218,60
219,5
220,76
221,82
222,31
223,1
224,39
225,21
226,24
227,43
228,17
229,97
230,86
231,34
232,64
233,90
234,49
235,16
236,81
237,76
238,13
239,5
240,76
241,88
242,43
243,27
244,68
245,33
246,72
247,32
248,23
249,45
250,55
251,27
252,53
253,92
254,4
255,47
256,3
257,54
258,88
259,77
260,29
261,81
262,23
263,8
264,34
265,77
266,21
267,44
268,74
269,4
270,30
271,61
272,16
273,62
274,89
275,66
276,64
277,33
278,21
279,10
280,93
281,15
282,56
283,32
284,37
285,53
286,76
287,48
288,62
289,35
290,35
291,41
292,84
293,43
294,4
295,77
296,9
297,93
298,83
299,33
300,30
301,91
302,47
303,97
304,86
305,65
306,52
307,11
308,90
309,20
310,17
311,56
